Nouns,Verbs,Adjectives,Adverbs,age,story,,,,,,,,,
food,think,nice,even,50,picnic,,,,,,,,,
grandma,notice,tall,again,50,picnic,,,,,,,,,
day,hear,lonely,off,50,picnic,,,,,,,,,
way,continue,scared,alone,50,picnic,,,,,,,,,
mouse,go,little,all,60,picnic,,,,,,,,,
picnic,look,happy,there,60,picnic,,,,,,,,,
truck,have,good,back,60,picnic,,,,,,,,,
family,get,lost,just,60,picnic,,,,,,,,,
road,play,pink,so,60,picnic,,,,,,,,,
baby,find,big,then,60,picnic,,,,,,,,,
time,eat,missing,out,60,picnic,,,,,,,,,
flower,start,stuffed,very,60,picnic,,,,,,,,,
back,see,red,where,60,picnic,,,,,,,,,
mom,sit,sad,up,60,picnic,,,,,,,,,
doll,come,hungry,around,60,picnic,,,,,,,,,
kid,do,whole,still,60,picnic,,,,,,,,,
berry,take,great,meanwhile,60,picnic,,,,,,,,,
dad,know,ready,maybe,60,picnic,,,,,,,,,
toy,decide,poor,now,60,picnic,,,,,,,,,
grandpa,cry,beautiful,here,60,picnic,,,,,,,,,
child,pick,nice,together,60,picnic,,,,,,,,,
raspberry,run,old,finally,60,picnic,,,,,,,,,
food,fall,young,even,60,picnic,,,,,,,,,
brother,realize,bumpy,down,60,picnic,,,,,,,,,
water,drive,left,really,60,picnic,,,,,,,,,
baseball,lay,full,off,60,picnic,,,,,,,,,
bush,call,tall,again,60,picnic,,,,,,,,,
blanket,swim,wonderful,on,60,picnic,,,,,,,,,
area,jump,aware,probably,60,picnic,,,,,,,,,
mouse,go,little,all,70,picnic,,,,,,,,,
picnic,look,good,there,70,picnic,,,,,,,,,
truck,have,happy,back,70,picnic,,,,,,,,,
road,get,big,out,70,picnic,,,,,,,,,
baby,play,lost,then,70,picnic,,,,,,,,,
family,eat,missing,now,70,picnic,,,,,,,,,
time,seem,pink,where,70,picnic,,,,,,,,,
flower,find,red,up,70,picnic,,,,,,,,,
doll,sit,stuffed,so,70,picnic,,,,,,,,,
back,come,nice,still,70,picnic,,,,,,,,,
toy,start,sad,very,70,picnic,,,,,,,,,
berry,take,ready,just,70,picnic,,,,,,,,,
child,pick,old,around,70,picnic,,,,,,,,,
kid,know,poor,here,70,picnic,,,,,,,,,
basket,do,great,meanwhile,70,picnic,,,,,,,,,
water,cry,hungry,again,70,picnic,,,,,,,,,
grandpa,decide,bumpy,maybe,70,picnic,,,,,,,,,
bush,lay,whole,suddenly,70,picnic,,,,,,,,,
tree,run,left,off,70,picnic,,,,,,,,,
thing,call,full,down,70,picnic,,,,,,,,,
rock,realize,young,meantime,70,picnic,,,,,,,,,
rest,fall,beautiful,finally,70,picnic,,,,,,,,,
place,think,small,even,70,picnic,,,,,,,,,
middle,swim,wonderful,together,70,picnic,,,,,,,,,
girl,hear,glad,on,70,picnic,,,,,,,,,
mouse,go,little,there,80,picnic,,,,,,,,,
picnic,have,lost,all,80,picnic,,,,,,,,,
truck,look,big,then,80,picnic,,,,,,,,,
road,get,good,back,80,picnic,,,,,,,,,
baby,play,happy,out,80,picnic,,,,,,,,,
family,eat,ready,just,80,picnic,,,,,,,,,
flower,come,red,where,80,picnic,,,,,,,,,
toy,see,missing,still,80,picnic,,,,,,,,,
time,find,pink,so,80,picnic,,,,,,,,,
back,sit,poor,up,80,picnic,,,,,,,,,
mother,know,sad,here,80,picnic,,,,,,,,,
food,take,old,now,80,picnic,,,,,,,,,
basket,start,bumpy,around,80,picnic,,,,,,,,,
picture,pick,great,very,80,picnic,,,,,,,,,
thing,cry,nice,on,80,picnic,,,,,,,,,
baseball,decide,wonderful,meanwhile,80,picnic,,,,,,,,,
water,think,beautiful,down,80,picnic,,,,,,,,,
berry,do,whole,even,80,picnic,,,,,,,,,
rock,guess,hungry,maybe,80,picnic,,,,,,,,,
place,hug,stuffed,off,80,picnic,,,,,,,,,
watermelon,lay,glad,again,80,picnic,,,,,,,,,
doll,fall,pretty,apparently,80,picnic,,,,,,,,,
home,jump,next,along,80,picnic,,,,,,,,,
banjo,swim,full,away,80,picnic,,,,,,,,,
child,put,small,ever,80,picnic,,,,,,,,,
